codigo_ocorrencia,aeronave_registro_segmento,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_nivel_dano,aeronave_fase_operacao,aeronave_fatalidades_total
39115,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,PISTÃO,MONOMOTOR,4.0,1979.0,SUBSTANCIAL,DECOLAGEM,0
39155,PARTICULAR,AVIÃO,BEECH AIRCRAFT,C90,TURBOÉLICE,BIMOTOR,8.0,1979.0,NENHUM,DECOLAGEM,0
39156,REGULAR,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,TURBOÉLICE,BIMOTOR,73.0,2008.0,LEVE,ARREMETIDA NO AR,0
39158,REGULAR,AVIÃO,BOEING COMPANY,757-225,JATO,BIMOTOR,5.0,1984.0,NENHUM,SUBIDA,0
39176,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,184.0,2001.0,NENHUM,SUBIDA,0
39178,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,JATO,BIMOTOR,184.0,2001.0,NENHUM,SUBIDA,0
39235,AGRÍCOLA,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1.0,1976.0,DESTRUÍDA,DECOLAGEM,1
39275,PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,AS 350 BA,TURBOEIXO,MONOMOTOR,6.0,1994.0,DESTRUÍDA,CRUZEIRO,1
39295,EXPERIMENTAL,ULTRALEVE,***,RV-9,PISTÃO,MONOMOTOR,2.0,2004.0,SUBSTANCIAL,APROXIMAÇÃO FINAL,2
39315,TÁXI AÉREO,HELICÓPTERO,HELIBRAS,HB-350B,TURBOEIXO,MONOMOTOR,6.0,1981.0,***,CRUZEIRO,2
39316,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2.0,1992.0,SUBSTANCIAL,POUSO,0
39317,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,PISTÃO,MONOMOTOR,2.0,1993.0,SUBSTANCIAL,POUSO,0
39318,TÁXI AÉREO,AVIÃO,EMBRAER,EMB-110,TURBOÉLICE,BIMOTOR,1.0,1976.0,SUBSTANCIAL,DESCIDA,2
39319,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PISTÃO,BIMOTOR,6.0,1981.0,DESTRUÍDA,SUBIDA,2
39320,AGRÍCOLA,AVIÃO,CESSNA AIRCRAFT,A188B,PISTÃO,MONOMOTOR,1.0,1977.0,SUBSTANCIAL,DECOLAGEM,0
39321,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,210N,PISTÃO,MONOMOTOR,6.0,1981.0,DESTRUÍDA,POUSO,1
39322,ESPECIALIZADA,HELICÓPTERO,ROBINSON HELICOPTER,R44,PISTÃO,MONOMOTOR,4.0,1997.0,SUBSTANCIAL,DECOLAGEM,0
39323,EXPERIMENTAL,ULTRALEVE,***,MISTRAL 582C,PISTÃO,MONOMOTOR,2.0,2000.0,SUBSTANCIAL,SUBIDA,1
