codigo_ocorrencia,fator_area
39115,FATOR OPERACIONAL
39115,FATOR OPERACIONAL
39115,FATOR HUMANO
39115,FATOR OPERACIONAL
39115,FATOR OPERACIONAL
39115,FATOR HUMANO
39156,FATOR OPERACIONAL
39156,FATOR OPERACIONAL
39156,FATOR OPERACIONAL
39235,FATOR OPERACIONAL
39235,FATOR OPERACIONAL
39275,FATOR OPERACIONAL
39275,FATOR HUMANO
39275,FATOR HUMANO
39275,FATOR HUMANO
39275,FATOR HUMANO
39275,FATOR HUMANO
39275,FATOR OPERACIONAL
39275,FATOR OPERACIONAL
39275,FATOR HUMANO
39275,FATOR OPERACIONAL
39275,FATOR OPERACIONAL
39275,FATOR OPERACIONAL
39275,FATOR HUMANO
39315,FATOR HUMANO
39315,FATOR OPERACIONAL
39315,FATOR HUMANO
39315,FATOR HUMANO
39315,FATOR OPERACIONAL
39315,FATOR OPERACIONAL
39315,FATOR OPERACIONAL
39315,FATOR HUMANO
39315,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39316,FATOR OPERACIONAL
39318,FATOR HUMANO
39318,FATOR OPERACIONAL
39318,FATOR OPERACIONAL
39318,FATOR HUMANO
39318,FATOR HUMANO
39318,FATOR OPERACIONAL
39318,FATOR OPERACIONAL
39318,FATOR HUMANO
39318,FATOR OPERACIONAL
39319,FATOR HUMANO
39319,FATOR HUMANO
39319,FATOR HUMANO
39319,FATOR OPERACIONAL
39319,FATOR HUMANO
39319,FATOR OPERACIONAL
39320,FATOR OPERACIONAL
39320,FATOR OPERACIONAL
39320,FATOR OPERACIONAL
39321,FATOR OPERACIONAL
39321,FATOR OPERACIONAL
39321,FATOR OPERACIONAL
39322,FATOR HUMANO
39322,FATOR HUMANO
39322,FATOR HUMANO
39322,FATOR HUMANO
39322,FATOR OPERACIONAL
39322,FATOR OPERACIONAL
39322,FATOR HUMANO
39322,FATOR HUMANO
39322,FATOR OPERACIONAL
39322,FATOR OPERACIONAL
39322,FATOR HUMANO
39322,FATOR OPERACIONAL
39385,FATOR OPERACIONAL
39385,FATOR OPERACIONAL
39405,FATOR OPERACIONAL
39405,FATOR OPERACIONAL
39405,FATOR OPERACIONAL
39487,FATOR OPERACIONAL
39507,FATOR OPERACIONAL
39507,FATOR OPERACIONAL
39527,FATOR OPERACIONAL
39527,FATOR OPERACIONAL
39527,FATOR OPERACIONAL
39527,FATOR HUMANO
39687,FATOR MATERIAL
39687,FATOR OPERACIONAL
39707,FATOR OPERACIONAL
39707,FATOR OPERACIONAL
39707,FATOR OPERACIONAL
39709,FATOR OPERACIONAL
39887,FATOR OPERACIONAL
39887,FATOR HUMANO
39887,FATOR OPERACIONAL
39913,FATOR OPERACIONAL
39913,FATOR OPERACIONAL
39913,FATOR OPERACIONAL
39916,FATOR OPERACIONAL
39916,FATOR OPERACIONAL
39916,FATOR OPERACIONAL
39916,FATOR OPERACIONAL
39930,FATOR HUMANO
39930,FATOR HUMANO
39930,FATOR HUMANO
39930,FATOR HUMANO
39933,FATOR HUMANO
39933,FATOR OPERACIONAL
39933,FATOR OPERACIONAL
39933,FATOR OPERACIONAL
39969,FATOR MATERIAL
39992,FATOR OPERACIONAL
39992,FATOR OPERACIONAL
39992,FATOR OPERACIONAL
39992,FATOR OPERACIONAL
39993,FATOR OPERACIONAL
39993,FATOR OPERACIONAL
39993,FATOR OPERACIONAL
40069,FATOR OPERACIONAL
40069,FATOR HUMANO
40069,FATOR HUMANO
40069,FATOR OPERACIONAL
40069,FATOR OPERACIONAL
40069,FATOR HUMANO
40069,FATOR HUMANO
40069,FATOR HUMANO
40069,FATOR OPERACIONAL
40069,FATOR OPERACIONAL
40069,FATOR HUMANO
40069,FATOR HUMANO
40069,FATOR HUMANO
40069,FATOR OPERACIONAL
40087,FATOR OPERACIONAL
40087,FATOR OPERACIONAL
40087,FATOR OPERACIONAL
40088,FATOR OPERACIONAL
40088,FATOR OPERACIONAL
40088,FATOR OPERACIONAL
40088,FATOR OPERACIONAL
40107,FATOR OPERACIONAL
40107,FATOR OPERACIONAL
40107,FATOR OPERACIONAL
40147,FATOR OPERACIONAL
40147,FATOR OPERACIONAL
40147,FATOR OPERACIONAL
40147,FATOR OPERACIONAL
40147,FATOR OPERACIONAL
40148,FATOR OPERACIONAL
40148,FATOR OPERACIONAL
40148,FATOR OPERACIONAL
