codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,total_aeronaves_envolvidas,ocorrencia_hora,ocorrencia_mes,ocorrencia_ano
40211,INCIDENTE,RJ,1,12,01,2010
40349,INCIDENTE,PA,1,11,01,2010
40351,INCIDENTE,RJ,1,03,01,2010
39527,ACIDENTE,MT,1,17,01,2010
40324,INCIDENTE,RS,1,19,01,2010
39807,INCIDENTE,BA,1,17,01,2010
40215,INCIDENTE,AM,1,18,01,2010
39707,INCIDENTE GRAVE,AM,1,12,01,2010
39156,INCIDENTE GRAVE,PR,1,23,01,2010
39711,INCIDENTE GRAVE,MG,1,20,01,2010
39789,INCIDENTE,RS,1,21,01,2010
40069,ACIDENTE,SP,1,14,01,2010
40414,INCIDENTE,DF,1,03,01,2010
39507,ACIDENTE,MT,1,17,01,2010
40107,ACIDENTE,PA,1,14,01,2010
39315,ACIDENTE,AM,1,21,01,2010
39809,INCIDENTE,SP,1,15,01,2010
39810,INCIDENTE,BA,1,18,01,2010
39828,INCIDENTE,SP,1,17,01,2010
44575,INCIDENTE,RJ,1,12,01,2010
40310,INCIDENTE,AC,1,19,01,2010
39320,ACIDENTE,PR,1,18,01,2010
39851,INCIDENTE,RS,1,03,01,2010
40311,INCIDENTE,RJ,1,13,01,2010
41577,INCIDENTE,RJ,1,12,01,2010
39772,INCIDENTE,MG,1,18,01,2010
39847,INCIDENTE,SP,1,13,01,2010
39768,INCIDENTE,SP,1,20,01,2010
39321,ACIDENTE,MT,1,13,01,2010
39709,INCIDENTE GRAVE,PR,1,16,01,2010
39849,INCIDENTE,RJ,1,03,01,2010
39323,ACIDENTE,RJ,1,16,01,2010
39318,ACIDENTE,PA,1,16,01,2010
39848,INCIDENTE,SP,1,17,01,2010
39322,ACIDENTE,SP,1,13,01,2010
39487,INCIDENTE GRAVE,TO,1,16,01,2010
39850,INCIDENTE,PA,1,14,01,2010
39319,ACIDENTE,SP,1,11,01,2010
39627,INCIDENTE,SC,1,16,01,2010
40617,INCIDENTE,RJ,1,20,01,2010
39158,INCIDENTE,PA,1,16,01,2010
39687,INCIDENTE GRAVE,SC,1,10,01,2010
39747,INCIDENTE,BA,1,19,01,2010
39787,INCIDENTE,GO,1,21,01,2010
39748,INCIDENTE,PR,1,14,02,2010
39316,ACIDENTE,SC,1,17,02,2010
39155,INCIDENTE,MG,1,12,02,2010
39176,INCIDENTE,MA,1,09,02,2010
39235,ACIDENTE,GO,1,17,02,2010
39295,ACIDENTE,RJ,1,21,02,2010
40207,INCIDENTE,AC,1,22,02,2010
39115,ACIDENTE,BA,1,17,02,2010
39367,INCIDENTE,SP,1,22,02,2010
39405,ACIDENTE,MT,1,11,02,2010
40290,INCIDENTE,ES,1,02,02,2010
39178,INCIDENTE,SP,1,12,02,2010
39972,INCIDENTE,MG,1,13,02,2010
39969,INCIDENTE,BA,1,23,02,2010
39275,ACIDENTE,SP,1,09,02,2010
39967,INCIDENTE,BA,1,15,02,2010
39365,INCIDENTE,GO,1,16,02,2010
41377,ACIDENTE,SP,1,17,02,2010
39930,INCIDENTE GRAVE,PR,1,16,02,2010
39992,ACIDENTE,SP,1,20,02,2010
39386,INCIDENTE,SP,1,10,02,2010
40325,INCIDENTE GRAVE,PE,1,10,02,2010
39385,INCIDENTE GRAVE,DF,1,17,02,2010
39988,INCIDENTE,PR,1,16,02,2010
